Date,Firm,ALP,LNP,GRN,OTH,ALP2,LNP2
21–23 Jun 2013,Newspoll,29%,48%,9%,14%,43%,57%
21–23 Jun 2013,Morgan (multi),30.5%,47%,9%,13.5%,43.5%,56.5%
20–23 Jun 2013,Essential[e 12],34%,47%,8%,11%,45%,55%
14–16 Jun 2013,Morgan (multi),33%,44.5%,9%,13.5%,45.5%,54.5%
13–16 Jun 2013,Essential[e 13],35%,47%,8%,9%,46%,54%
13–15 Jun 2013,Nielsen[22],29%,47%,11%,12%,43%,57%
11–13 Jun 2013,Galaxy[23],32%,47%,11%,10%,45%,55%
7–10 Jun 2013,Morgan (multi),31%,46%,9.5%,13.5%,44%,56%
6–10 Jun 2013,Essential[e 14],36%,47%,8%,9%,46%,54%
31 May–2 Jun 2013,Newspoll,30%,49%,9%,12%,42%,58%
31 May–2 Jun 2013,Morgan (multi),31.5%,45.5%,9.5%,13.5%,44.5%,55.5%
30 May–2 Jun 2013,Essential[e 15],35%,48%,8%,9%,45%,55%
24–26 May 2013,Morgan (multi),33.5%,45.5%,9.5%,11.5%,45.5%,54.5%
23–26 May 2013,Essential[e 16],34%,48%,8%,10%,45%,55%
17–19 May 2013,Newspoll,31%,46%,9%,14%,44%,56%
17–19 May 2013,Morgan (multi),32%,45.5%,10%,12.5%,45%,55%
16–19 May 2013,Essential[e 17],35%,48%,8%,9%,45%,55%
16–18 May 2013,Nielsen[24],32%,44%,11%,13%,46%,54%
15–16 May 2013,Galaxy[25],34%,46%,10%,10%,46%,54%
10–12 May 2013,Morgan (multi),32%,46.5%,9.5%,12%,44%,56%
9–12 May 2013,Essential[e 18],34%,48%,9%,10%,45%,55%
3–5 May 2013,Newspoll,31%,47%,10%,12%,44%,56%
3–5 May 2013,Morgan (multi),32%,46%,8.5%,13.5%,44%,56%
2–5 May 2013,Essential[e 19],33%,48%,9%,10%,44%,56%
2 May 2013,ReachTEL[18],29.3%,48.5%,10.2%,11.9%,42%,58%
26–28 Apr 2013,Morgan (multi),30.5%,48%,11%,10.5%,43.5%,56.5%
25–28 Apr 2013,Essential[e 20],34%,48%,9%,9%,45%,55%
18–22 Apr 2013,Morgan (multi),32.5%,44%,10.5%,13%,46%,54%
18–22 Apr 2013,Essential[e 21],34%,48%,9%,9%,45%,55%
19–21 Apr 2013,Newspoll,32%,46%,10%,12%,45%,55%
11–14 Apr 2013,Morgan (multi),32%,47.5%,10.5%,10%,44%,56%
11–14 Apr 2013,Essential[e 22],34%,48%,9%,9%,45%,55%
11–13 Apr 2013,Nielsen[26],29%,49%,12%,11%,43%,57%
9–11 Apr 2013,Galaxy[27],33%,47%,12%,8%,46%,54%
2 May 2013,ReachTEL[18],31.3%,49.8%,10.2%,8.8%,43%,57%
5–7 Apr 2013,Newspoll,32%,48%,11%,9%,45%,55%
4–7 Apr 2013,Morgan (multi),31%,46.5%,10%,12.5%,44%,56%
4–7 Apr 2013,Essential[e 23],32%,49%,9%,9%,44%,56%
29 Mar–1 Apr 2013,Morgan (multi),30%,49%,11%,10%,42.5%,57.5%
28 Mar–1 Apr 2013,Essential[e 24],31%,49%,11%,9%,44%,56%
22–24 Mar 2013,Newspoll,30%,50%,10%,10%,42%,58%
21–24 Mar 2013,Essential[e 25],33%,47%,11%,9%,46%,54%
22–23 Mar 2013,Galaxy[28],32%,47%,12%,9%,45%,55%
21–24 Mar 2013,Morgan (multi),30.5%,46.5%,10.5%,12.5%,44%,56%
22–25 Mar 2013,AMR[12],33%,49%,9%,9%,44%,56%
14–17 Mar 2013,Essential[e 26],35%,47%,9%,8%,46%,54%
14–17 Mar 2013,Morgan (multi),33%,46%,11%,10.5%,46%,54%
14–16 Mar 2013,Nielsen[29],31%,47%,10%,12%,44%,56%
7–10 Mar 2013,Essential[e 27],34%,48%,9%,9%,45%,55%
7–10 Mar 2013,Morgan (multi),31.5%,47%,11%,10.5%,44.5%,55.5%
8–10 Mar 2013,Newspoll,34%,44%,11%,11%,48%,52%
5–7 Mar 2013,Galaxy[30],32%,48%,11%,9%,45%,55%
28 Feb–3 Mar 2013,Essential[e 28],32%,49%,10%,8%,44%,56%
28 Feb–3 Mar 2013,Morgan (multi),33%,45%,10.5%,11.5%,46%,54%
21–24 Feb 2013,Essential[e 29],32%,49%,10%,8%,44%,56%
16–17/23–24 Feb 2013,Morgan (face),33.5%,44%,10%,12.5%,46.5%,53.5%
22–24 Feb 2013,Newspoll,31%,47%,11%,11%,45%,55%
14–17 Feb 2013,Essential[e 30],35%,47%,10%,8%,46%,54%
14–16 Feb 2013,Nielsen[29],30%,47%,11%,12%,44%,56%
7–10 Feb 2013,Essential[e 31],34%,48%,9%,9%,45%,55%
9–10 Feb 2013,Morgan (face),33.5%,45%,9%,12.5%,45.5%,54.5%
1–4 Feb 2013,Essential[e 32],34%,48%,10%,8%,46%,54%
2–3 Feb 2013,Morgan (face),38.5%,42.5%,8.5%,10.5%,48.5%,51.5%
1–3 Feb 2013,Newspoll,32%,48%,9%,11%,44%,56%
1–3 Feb 2013,Galaxy[30],35%,48%,10%,7%,46%,54%
23–28 Jan 2013,Essential[e 33],35%,48%,10%,7%,46%,54%
19–20/26–27 Jan 2013,Morgan (face),36%,39%,12%,13%,49.5%,50.5%
16–20 Jan 2013,Essential[e 34],36%,48%,9%,8%,46%,54%
9–13 Jan 2013,Essential[e 35],36%,48%,8%,8%,46%,54%
11–13 Jan 2013,Newspoll,38%,44%,9%,9%,49%,51%
5–6/12–13 Jan 2013,Morgan (face),36.5%,41.5%,10.5%,11.5%,49%,51%
12–16 Dec 2012,Essential[e 36],36%,48%,8%,8%,45%,55%
8–9/15–16 Dec 2012,Morgan (face),40%,37.5%,12%,10.5%,53.5%,46.5%
13–15 Dec 2012,Nielsen[29],35%,43%,10%,12%,48%,52%
5–9 Dec 2012,Essential[e 37],36%,48%,8%,8%,46%,54%
7–9 Dec 2012,Newspoll,32%,46%,11%,11%,46%,54%
28 Nov–2 Dec 2012,Essential[e 38],37%,47%,9%,7%,47%,53%
24–25 Nov/1–2 Dec 2012,Morgan (face),36%,40.5%,10.5%,13%,49.5%,50.5%
29–30 Nov 2012,Galaxy[30],34%,48%,11%,7%,46%,54%
27–29 Nov 2012,Morgan (phone),36.5%,44.5%,8.5%,10.5%,47.5%,52.5%
23–25 Nov 2012,Newspoll,36%,43%,11%,10%,49%,51%
21–25 Nov 2012,Essential[e 39],36%,47%,10%,8%,47%,53%
14–18 Nov 2012,Essential[e 40],36%,46%,10%,9%,47%,53%
10–11/17–18 Nov 2012,Morgan (face),36.5%,38.5%,11.5%,13.5%,49%,51%
15–17 Nov 2012,Nielsen[29],34%,45%,12%,10%,47%,53%
9–11 Nov 2012,Newspoll,36%,43%,10%,11%,49%,51%
7–11 Nov 2012,Essential[e 41],37%,45%,9%,8%,48%,52%
2–6 Nov 2012,Essential[e 42],37%,46%,9%,8%,47%,53%
2–4 Nov 2012,Galaxy[31],35%,47%,11%,7%,47%,53%
27–28 Oct/3–4 Nov 2012,Morgan (face),35.5%,43%,10%,11.5%,48%,52%
26–28 Oct 2012,Newspoll,36%,41%,10%,13%,50%,50%
25–28 Oct 2012,Essential[e 43],36%,48%,9%,7%,46%,54%
13–14/20–21 Oct 2012,Morgan (face),37.5%,38.5%,12.5%,11.5%,42.5%,57.5%
17–21 Oct 2012,Essential[e 44],36%,47%,9%,7%,47%,53%
18–20 Oct 2012,Nielsen[32],34%,43%,11%,12%,48%,52%
10–14 Oct 2012,Essential[e 45],36%,47%,9%,8%,47%,53%
5–7 Oct 2012,Newspoll,33%,45%,10%,12%,46%,54%
3–7 Oct 2012,Essential[e 46],37%,47%,9%,7%,47%,53%
29–30 Sep/6–7 Oct 2012,Morgan (face),37%,43%,10.5%,9.5%,49%,51%
26–30 Sep 2012,Essential[e 47],36%,47%,9%,7%,47%,53%
22–23 Sep 2012,Morgan (face),37.5%,41.5%,10%,11%,50%,50%
19–23 Sep 2012,Essential[e 48],35%,48%,9%,9%,45%,55%
17–20 Sep 2012,Morgan (phone),39.5%,47%,8%,5.5%,47.5%,52.5%
14–16 Sep 2012,Newspoll,36%,41%,12%,11%,50%,50%
12–16 Sep 2012,Essential[e 49],34%,48%,9%,9%,45%,55%
8–9/15–16 Sep 2012,Morgan (face),35%,40.5%,12%,12.5%,49.5%,50.5%
13–15 Sep 2012,Nielsen[32],34%,45%,10%,11%,47%,53%
29 Aug–2 Sep 2012,Essential[e 50],34%,48%,9%,9%,45%,55%
31 Aug–2 Sep 2012,Newspoll,33%,46%,8%,13%,45%,55%
1–2 Sep 2012,Morgan (face),34.5%,41.5%,11.5%,12.5%,48.5%,51.5%
22–26 Aug 2012,Essential[e 51],32%,49%,10%,9%,44%,56%
23–25 Aug 2012,Nielsen[32],32%,45%,11%,13%,46%,54%
15–19 Aug 2012,Essential[e 52],32%,49%,10%,9%,43%,57%
17–19 Aug 2012,Newspoll,35%,45%,11%,9%,47%,53%
11–12/18–19 Aug 2012,Morgan (face),34.5%,44%,10%,11.5%,47%,53%
8–12 Aug 2012,Essential[e 53],32%,49%,10%,8%,44%,56%
3–5 Aug 2012,Newspoll,33%,45%,10%,12%,46%,54%
1–5 Aug 2012,Essential[e 54],33%,49%,10%,8%,44%,56%
28–29 Jul/4–5 Aug 2012,Morgan (face),32%,43.5%,11.5%,13%,46.5%,53.5%
25–29 Jul 2012,Essential[e 55],33%,49%,10%,8%,45%,55%
26–28 Jul 2012,Nielsen[32],30%,47%,12%,11%,44%,56%
20–22 Jul 2012,Newspoll,28%,46%,11%,15%,44%,56%
18–22 Jul 2012,Essential[e 56],33%,49%,10%,9%,44%,56%
14–15/21–22 Jul 2012,Morgan (face),31.5%,43%,12%,13.5%,46%,54%
11–15 Jul 2012,Essential[e 57],31%,49%,10%,9%,43%,57%
6–8 Jul 2012,Newspoll,31%,48%,11%,10%,44%,56%
4–8 Jul 2012,Essential[e 58],31%,49%,11%,9%,44%,56%
30 Jun–1/7–8 Jul 2012,Morgan (face),29.5%,43%,14.5%,13%,46%,54%
27 Jun–1 Jul 2012,Essential[e 59],32%,49%,10%,9%,44%,56%
22–24 Jun 2012,Newspoll,30%,46%,12%,12%,45%,55%
20–24 Jun 2012,Essential[e 60],33%,49%,10%,8%,44%,56%
16–17/23–24 Jun 2012,Morgan (face),29.5%,43%,14.5%,13%,46%,54%
13–17 Jun 2012,Essential[e 61],33%,49%,10%,8%,44%,56%
15–17 Jun 2012,Galaxy[31],31%,49%,12%,8%,44%,56%
6–11 Jun 2012,Essential[e 62],32%,49%,10%,9%,44%,56%
9–10 Jun 2012,Morgan (face),33%,42.5%,12.5%,12%,48%,52%
7–10 Jun 2012,Newspoll,31%,44%,14%,11%,46%,54%
2–3 Jun 2012,Morgan (face),32.5%,45%,10.5%,12%,44.5%,55.5%
31 May–2 Jun 2012,Nielsen[33],26%,48%,14%,12%,43%,57%
30 May–3 Jun 2012,Essential[e 63],33%,50%,10%,7%,44%,56%
26–27 May 2012,Morgan (face),27.5%,49%,13%,10.5%,42%,58%
23–27 May 2012,Essential[e 64],33%,50%,10%,7%,43%,57%
25–27 May 2012,Newspoll,32%,46%,12%,10%,46%,54%
16–20 May 2012,Essential[e 65],33%,49%,10%,8%,44%,56%
19–20 May 2012,Morgan (face),32%,45.5%,10.5%,12%,45%,55%
12–13 May 2012,Morgan (face),30.5%,46%,12%,11.5%,44.5%,55.5%
11–13 May 2012,Newspoll,30%,45%,12%,13%,45%,55%
9–13 May 2012,Essential[e 66],30%,50%,11%,9%,43%,57%
9–10 May 2012,Nielsen[33],28%,49%,12%,12%,42%,58%
9–10 May 2012,Morgan (phone),29%,50.5%,10%,10.5%,42%,58%
5–6 May 2012,Morgan (face),29.5%,45.5%,12%,13%,44.5%,55.5%
2–6 May 2012,Essential[e 67],29%,50%,11%,9%,42%,58%
27–29 Apr 2012,Newspoll,27%,51%,11%,11%,41%,59%
27–29 Apr 2012,Galaxy[31],30%,49%,13%,8%,44%,56%
25–29 Apr 2012,Essential[e 68],31%,50%,11%,9%,43%,57%
21–22 Apr 2012,Morgan (face),30%,47.5%,12%,10.5%,44%,56%
18–22 Apr 2012,Essential[e 69],31%,49%,11%,9%,44%,56%
17–19 Apr 2012,Morgan (phone),30%,47.5%,11.5%,11.5%,44%,56%
13–15 Apr 2012,Newspoll,29%,48%,12%,11%,44%,56%
11–15 Apr 2012,Essential[e 70],31%,48%,11%,9%,44%,56%
7–8/14–15 Apr 2012,Morgan (face),31%,46.5%,12.5%,10%,45%,55%
4–9 Apr 2012,Essential[e 71],31%,50%,11%,9%,43%,57%
31 Mar–1 Apr 2012,Morgan (face),32%,45.5%,13%,10.5%,46.5%,53.5%
28 Mar–1 Apr 2012,Essential[e 72],33%,48%,11%,8%,45%,55%
29–31 Mar 2012,Nielsen[33],27%,47%,13%,12%,43%,57%
21–25 Mar 2012,Essential[e 73],34%,47%,10%,9%,46%,54%
24–25 Mar 2012,Morgan (face),36.5%,45%,12.5%,6%,48.5%,51.5%
23–25 Mar 2012,Newspoll,28%,47%,11%,14%,43%,57%
14–18 Mar 2012,Essential[e 74],32%,48%,11%,9%,46%,54%
10–11/17–18 Mar 2012,Morgan (face),37%,45.5%,10.5%,7%,48%,52%
9–11 Mar 2012,Newspoll,31%,43%,12%,14%,47%,53%
7–11 Mar 2012,Essential[e 75],31%,49%,10%,9%,43%,57%
3–4 Mar 2012,Morgan (face),39%,43.5%,10%,7.5%,50%,50%
29 Feb–4 Mar 2012,Essential[e 76],32%,49%,10%,9%,44%,56%
25–26 Feb 2012,Morgan (face),37.5%,42.5%,11%,9%,50%,50%
23–26 Feb 2012,Newspoll,35%,45%,11%,9%,47%,53%
22–26 Feb 2012,Essential[e 77],32%,49%,11%,8%,44%,56%
23–24 Feb 2012,Galaxy[34],34%,47%,12%,7%,46%,54%
22–23 Feb 2012,Nielsen[33],34%,44%,12%,11%,47%,53%
15–19 Feb 2012,Essential[e 78],33%,48%,11%,9%,45%,55%
11–12/18–19 Feb 2012,Morgan (face),37%,41.5%,14.5%,7%,51.5%,48.5%
10–12 Feb 2012,Newspoll,32%,46%,11%,11%,45%,55%
8–10 Feb 2012,Essential[e 79],34%,47%,10%,9%,46%,54%
7–8 Feb 2012,Morgan (phone),37%,41.5%,14.5%,7%,44.5%,55.5%
4–5 Feb 2012,Morgan (face),38.5%,45.5%,9.5%,6.5%,48.5%,51.5%
1–5 Feb 2012,Essential[e 80],33%,47%,11%,9%,46%,54%
2–4 Feb 2012,Nielsen[35],33%,45%,13%,9%,47%,53%
28–29 Jan 2012,Morgan (face),39.5%,41.5%,9.5%,6.5%,51%,49%
27–29 Jan 2012,Newspoll,30%,45%,12%,13%,46%,54%
25–29 Jan 2012,Essential[e 81],34%,47%,10%,8%,46%,54%
27–28 Jan 2012,Galaxy[34],34%,48%,12%,6%,46%,54%
18–22 Jan 2012,Essential[e 82],35%,48%,10%,7%,46%,54%
14–15/21–22 Jan 2012,Morgan (face),38.5%,42.5%,12%,7%,51%,49%
17–18 Jan 2012,Morgan (phone),35.5%,46.5%,9%,9%,46.5%,53.5%
11–15 Jan 2012,Essential[e 83],35%,48%,9%,8%,46%,54%
7–8 Jan 2012,Morgan (face),37%,45%,10.5%,7.5%,48.5%,51.5%
14–18 Dec 2011,Essential[e 84],35%,47%,9%,8%,46%,54%
10–11/17–18 Dec 2011,Morgan (face),36.5%,43%,13%,7.5%,50%,50%
7–11 Dec 2011,Essential[e 85],34%,48%,10%,9%,45%,55%
8–10 Dec 2011,Nielsen[35],29%,49%,11%,11%,43%,57%
2–4 Dec 2011,Newspoll,31%,44%,13%,12%,46%,54%
30 Nov–4 Dec 2011,Essential[e 86],34%,47%,10%,9%,46%,54%
26–27 Nov/3–4 Dec 2011,Morgan (face),36.5%,43%,13%,7.5%,47%,53%
23–27 Nov 2011,Essential[e 87],34%,47%,11%,8%,46%,54%
19–20 Nov 2011,Morgan (face),36.5%,45.5%,12%,6%,48.5%,51.5%
18–20 Nov 2011,Newspoll,30%,48%,10%,12%,43%,57%
16–20 Nov 2011,Essential[e 88],34%,48%,10%,7%,45%,55%
9–13 Nov 2011,Essential[e 89],35%,47%,10%,8%,46%,54%
5–6/12–13 Nov 2011,Morgan (face),34.5%,47%,11.5%,7%,46.5%,53.5%
10–12 Nov 2011,Nielsen[36],30%,45%,14%,12%,45%,55%
3–6 Nov 2011,Newspoll,32%,44%,12%,12%,47%,53%
2–6 Nov 2011,Essential[e 90],35%,46%,9%,9%,46%,54%
2–3 Nov 2011,Morgan (phone),34%,45%,12.5%,8.5%,47.5%,52.5%
26–30 Oct 2011,Essential[e 91],34%,47%,10%,9%,45%,55%
29–30 Oct 2011,Morgan (face),34%,46.5%,13.5%,6%,47%,53%
25–26 Oct 2011,Morgan (phone),31%,47%,12.5%,9.6%,45%,55%
22–23 Oct 2011,Morgan (face),35%,49.5%,10.5%,5%,45.5%,54.5%
21–23 Oct 2011,Newspoll,29%,45%,15%,11%,46%,54%
19–23 Oct 2011,Essential[e 92],32%,48%,11%,8%,45%,55%
15–16 Oct 2011,Morgan (face),36.5%,44%,10%,9.5%,48.5%,51.5%
14–16 Oct 2011,Galaxy[34],29%,51%,12%,8%,42%,58%
12–16 Oct 2011,Essential[e 93],33%,48%,11%,8%,45%,55%
13–15 Oct 2011,Nielsen[36],30%,48%,12%,10%,43%,57%
8–9 Oct 2011,Morgan (face),38.5%,43.5%,11%,7%,50%,50%
7–9 Oct 2011,Newspoll,29%,49%,12%,10%,43%,57%
4–9 Oct 2011,Essential[e 94],33%,48%,10%,9%,45%,55%
27 Sep–2 Oct 2011,Essential[e 95],33%,48%,11%,9%,45%,55%
24–25 Sep/1–2 Oct 2011,Morgan (face),35.5%,46.5%,10%,8%,46.5%,53.5%
20–25 Sep 2011,Essential[e 96],32%,49%,12%,8%,44%,56%
16–18 Sep 2011,Newspoll,26%,48%,13%,13%,42%,58%
13–18 Sep 2011,Essential[e 97],32%,49%,10%,9%,44%,56%
10–11/17–18 Sep 2011,Morgan (face),35.5%,46.5%,10%,8%,44.5%,55.5%
7–11 Sep 2011,Essential[e 98],32%,49%,10%,10%,44%,56%
8–10 Sep 2011,Nielsen[36],27%,48%,13%,12%,42%,58%
2–4 Sep 2011,Newspoll,27%,50%,12%,11%,41%,59%
31 Aug–4 Sep 2011,Essential[e 99],30%,49%,11%,10%,43%,57%
27–28 Aug/3–4 Sep 2011,Morgan (face),32.5%,46.5%,12.5%,8.5%,45.5%,54.5%
24–28 Aug 2011,Essential[e 100],32%,49%,10%,8%,44%,56%
19–21 Aug 2011,Newspoll,27%,47%,14%,12%,43%,57%
17–21 Aug 2011,Essential[e 101],32%,50%,10%,8%,44%,56%
13–14/20–21 Aug 2011,Morgan (face),32.5%,49.5%,11%,7%,44.5%,55.5%
10–14 Aug 2011,Essential[e 102],31%,50%,10%,9%,43%,57%
11–13 Aug 2011,Nielsen[36],28%,48%,12%,11%,42%,58%
9–10 Aug 2011,Morgan (phone),29.5%,49%,12%,9.5%,45.5%,54.5%
5–7 Aug 2011,Newspoll,30%,50%,10%,10%,43%,57%
3–7 Aug 2011,Essential[e 103],31%,50%,10%,9%,43%,57%
30–31 Jul/6–7 Aug 2011,Morgan (face),34.5%,47.5%,12%,6%,46.5%,53.5%
3 Aug 2011,Galaxy[37],31%,48%,13%,8%,44%,56%
27–31 Jul 2011,Essential[e 104],31%,49%,11%,9%,44%,56%
22–24 Jul 2011,Newspoll,29%,47%,13%,11%,44%,56%
20–24 Jul 2011,Essential[e 105],32%,48%,11%,9%,45%,55%
16–17/23–24 Jul 2011,Morgan (face),34.5%,47%,12%,6.5%,47%,53%
13–17 Jul 2011,Essential[e 106],31%,49%,11%,9%,44%,56%
14–16 Jul 2011,Nielsen[36],26%,51%,11%,15%,39%,61%
13–14 Jul 2011,Morgan (phone),27.5%,52.5%,10.5%,9.5%,40%,60%
9–10 Jul 2011,Morgan (face),33.5%,48%,11.5%,7%,45.5%,54.5%
8–10 Jul 2011,Newspoll,27%,49%,12%,12%,42%,58%
6–10 Jul 2011,Essential[e 107],30%,50%,11%,9%,43%,57%
29 Jun–3 Jul 2011,Essential[e 108],32%,49%,11%,9%,44%,56%
25–26 Jun/1–2 Jul 2011,Morgan (face),31.5%,49%,11.5%,8%,43.5%,56.5%
24–26 Jun 2011,Newspoll,30%,46%,11%,13%,45%,55%
22–26 Jun 2011,Essential[e 109],32%,48%,11%,9%,45%,55%
11–12/18–19 Jun 2011,Morgan (face),35%,46.5%,11.5%,7%,46.5%,53.5%
15–19 Jun 2011,Essential[e 110],32%,47%,12%,9%,45%,55%
14–16 Jun 2011,Nielsen[36],27%,49%,12%,12%,41%,59%
8–13 Jun 2011,Essential[e 111],34%,46%,12%,8%,46%,54%
10–12 Jun 2011,Newspoll,31%,46%,11%,12%,45%,55%
4–5 Jun 2011,Morgan (face),33.5%,46.5%,12%,8%,46%,54%
1–5 Jun 2011,Essential[e 112],34%,46%,12%,8%,47%,53%
31 May–2 Jun 2011,Morgan (phone),30%,50%,9.5%,10.5%,42%,58%
25–29 May 2011,Essential[e 113],34%,47%,12%,8%,46%,54%
27–29 May 2011,Newspoll,34%,44%,14%,8%,48%,52%
21–22/28–29 May 2011,Morgan (face),36%,45.5%,12%,6.5%,48.5%,51.5%
18–22 May 2011,Essential[e 114],34%,46%,12%,8%,47%,53%
14–15 May 2011,Morgan (face),36%,44.5%,13%,6.5%,48.5%,51.5%
13–15 May 2011,Newspoll,33%,46%,10%,11%,46%,54%
11–15 May 2011,Essential[e 115],36%,46%,11%,7%,48%,52%
12–14 May 2011,Nielsen[36],31%,47%,10%,13%,44%,56%
7–8 May 2011,Morgan (face),34%,48%,11%,7%,45.5%,54.5%
4–8 May 2011,Essential[e 116],35%,47%,10%,8%,46%,54%
3–4 May 2011,Morgan (phone),34%,46%,11%,9%,46.5%,53.5%
29 Apr–1 May 2011,Newspoll,33%,44%,12%,11%,47%,53%
28 Apr–1 May 2011,Essential[e 117],35%,47%,9%,9%,46%,54%
23–24/30 Apr–1 May 2011,Morgan (face),37%,46%,10.5%,6.5%,48%,52%
20–26 Apr 2011,Essential[e 118],35%,47%,10%,8%,46%,54%
13–17 Apr 2011,Essential[e 119],35%,47%,11%,8%,46%,54%
9–10/16–17 Apr 2011,Morgan (face),35%,46%,11.5%,7.5%,47%,53%
14–16 Apr 2011,Nielsen[36],31%,47%,12%,11%,44%,56%
6–10 Apr 2011,Essential[e 120],35%,46%,11%,8%,47%,53%
2–3 Apr 2011,Morgan (face),36.5%,48%,9.5%,6%,46.5%,53.5%
1–3 Apr 2011,Newspoll,32%,45%,12%,12%,45%,55%
30 Mar–3 Apr 2011,Essential[e 121],36%,46%,10%,8%,47%,53%
26–27 Mar 2011,Morgan (face),35.5%,47%,11.5%,6%,47%,53%
23–27 Mar 2011,Essential[e 122],37%,46%,10%,7%,48%,52%
22–24 Mar 2011,Morgan (phone),34.5%,47%,10%,8.5%,46%,54%
19–20 Mar 2011,Morgan (face),39.5%,40%,12.5%,8%,52.5%,47.5%
18–20 Mar 2011,Newspoll,36%,40%,12%,12%,51%,49%
16–20 Mar 2011,Essential[e 123],36%,46%,10%,8%,47%,53%
16–17 Mar 2011,Morgan (phone),35.5%,42.5%,12%,10%,49%,51%
12–13 Mar 2011,Morgan (face),38%,44.5%,11.5%,6%,49.5%,50.5%
9–13 Mar 2011,Essential[e 124],35%,47%,10%,8%,46%,54%
