Date,Firm,LNP,ALP,GRN,ONP,OTH,LNP2,ALP2
3–11 Mar 2018,Roy Morgan[87],36%,36%,13.5%,3%,11.5%,46%,54%
1–4 Mar 2018,Newspoll[88],37%,38%,9%,7%,9%,47%,53%
22–25 Feb 2018,Essential[89],35%,35%,10%,8%,12%,47%,53%
24 Feb 2018,ReachTEL[90],33%,37%,11%,7%,12%,46%,54%
15–18 Feb 2018,Newspoll[91],36%,37%,10%,8%,9%,47%,53%
8–11 Feb 2018,Essential[92],36%,37%,10%,6%,11%,46%,54%
1–3 Feb 2018,Newspoll[93],38%,37%,10%,5%,10%,48%,52%
26–28 Jan 2018,Essential[94],35%,36%,10%,8%,11%,46%,54%
25 Jan 2018,ReachTEL[95],34%,36%,10%,8%,12%,48%,52%
11–15 Jan 2018,Essential[96],37%,38%,9%,6%,10%,47%,53%
19 Dec 2017,Essential[97],37%,38%,9%,7%,9%,47%,53%
14–17 Dec 2017,Newspoll[98],36%,37%,10%,7%,10%,47%,53%
12 Dec 2017,Essential[99],35%,38%,10%,7%,9%,46%,54%
7–10 Dec 2017,YouGov[100],34%,35%,11%,8%,13%,50%,50%
5 Dec 2017,Essential[101],35%,38%,9%,8%,10%,45%,55%
30 Nov - 3 Dec 2017,Newspoll[102],36%,37%,10%,8%,9%,47%,53%
29 Nov 2017,ReachTEL[103],33%,36%,10%,9%,12%,47%,53%
28 Nov 2017,Essential[104],36%,38%,9%,8%,9%,46%,54%
23–27 Nov 2017,YouGov[105],32%,32%,10%,11%,16%,47%,53%
21 Nov 2017,Essential[106],35%,38%,9%,8%,10%,46%,54%
14 Nov 2017,YouGov[107],31%,34%,11%,11%,14%,48%,52%
14 Nov 2017,Essential[108],36%,38%,9%,8%,10%,46%,54%
13 Nov 2017,Newspoll[109],34%,38%,9%,10%,9%,45%,55%
30 Oct 2017,Essential[110],36%,37%,10%,7%,9%,46%,54%
26–29 Oct 2017,Newspoll,35%,37%,10%,9%,9%,46%,54%
24 Oct 2017,Essential[111],37%,36%,9%,8%,10%,48%,52%
12–15 Oct 2017,Newspoll,36%,37%,10%,9%,8%,46%,54%
4 Oct 2017,Essential[112],36%,38%,10%,7%,10%,46%,54%
1 Oct 2017,ReachTEL[113],36%,38%,9%,8%,9%,47%,53%
26 Sep 2017,Essential[114],37%,37%,10%,7%,9%,47%,53%
21–24 Sep 2017,Newspoll[115],36%,38%,9%,8%,9%,46%,54%
19 Sep 2017,Essential[116],38%,36%,10%,8%,8%,48%,52%
14–18 Sep 2017,YouGov[117],34%,35%,11%,9%,11%,50%,50%
12 Sep 2017,Essential[118],36%,37%,10%,9%,8%,46%,54%
6–9 Sep 2017,Ipsos[119][120],35%,34%,14%,1%,15%,47%,53%
5 Sep 2017,Essential[118],36%,37%,10%,8%,9%,47%,53%
31 Aug – 4 Sep 2017,YouGov[121],34%,32%,12%,9%,13%,50%,50%
28 Aug – 2 Sep 2017,Newspoll[122],37%,38%,9%,8%,8%,47%,53%
29 Aug 2017,Essential[123],37%,36%,10%,8%,9%,47%,53%
23 Aug 2017,ReachTEL[124],34.5%,36.7%,10.3%,10.4%,8.2%,48%,52%
22 Aug 2017,Essential[125],37%,37%,9%,8%,9%,47%,53%
17–21 Aug 2017,YouGov[126],34%,33%,10%,10%,13%,51%,49%
17–20 Aug 2017,Newspoll[127],35%,38%,9%,9%,9%,46%,54%
15 Aug 2017,Essential[128],37%,39%,9%,8%,7%,46%,54%
8 Aug 2017,Essential[129],37%,39%,9%,8%,7%,46%,54%
3–6 Aug 2017,Newspoll[130],36%,36%,11%,8%,9%,47%,53%
1 Aug 2017,Essential[131],38%,36%,10%,8%,8%,48%,52%
25 Jul 2017,Essential[132],38%,37%,10%,7%,8%,47%,53%
20–24 Jul 2017,YouGov[133],36%,33%,10%,8%,13%,50%,50%
20–23 Jul 2017,Newspoll[134],36%,37%,9%,9%,9%,47%,53%
19 Jul 2017,ReachTEL[135],37.2%,35.1%,8.8%,11.7%,7.2%,49%,51%
18 Jul 2017,Essential[136],36%,38%,10%,7%,9%,46%,54%
6–11 Jul 2017,YouGov[137],36%,33%,12%,7%,12%,52%,48%
6–9 Jul 2017,Newspoll[138],35%,36%,10%,11%,8%,47%,53%
29 June 2017,ReachTEL[139],36.4%,35.4%,10.2%,9.6%,8.3%,48%,52%
22–27 Jun 2017,YouGov[140],33%,34%,12%,7%,14%,49%,51%
15–18 Jun 2017,Newspoll[141],36%,37%,9%,11%,7%,47%,53%
14 June 2017,Essential[142],38%,36%,10%,8%,8%,48%,52%
26–29 May 2017,Newspoll[143],36%,36%,10%,9%,9%,47%,53%
23 May 2017,Essential[144],37%,38%,10%,6%,9%,46%,54%
12–15 May 2017,Newspoll[145],36%,36%,10%,9%,9%,47%,53%
11 May 2017,ReachTEL[146],38%,34.1%,10.9%,11%,6%,47%,53%
10–11 May 2017,Ipsos[147],37%,35%,13%,2%,13%,47%,53%
26–30 Apr 2017,Essential[148],38%,37%,9%,7%,9%,47%,53%
20–23 Apr 2017,Newspoll[149],36%,35%,9%,10%,10%,48%,52%
13–16 Apr 2017,Essential[150],36%,37%,10%,8%,10%,46%,54%
6–9 Apr 2017,Essential[151],37%,36%,10%,8%,9%,47%,53%
1–4 Apr 2017,Essential[152],37%,36%,10%,8%,9%,47%,53%
30 Mar – 2 Apr 2017,Newspoll[153],36%,36%,10%,10%,8%,47%,53%
24–27 Mar 2017,Essential[154],35%,37%,10%,8%,11%,46%,54%
22–25 Mar 2017,Ipsos[155][156],33%,34%,16%,2%,15%,45%,55%
17–20 Mar 2017,Essential[157],34%,37%,9%,10%,9%,45%,55%
16–19 Mar 2017,Newspoll[158],37%,35%,9%,10%,9%,48%,52%
10–13 Mar 2017,Essential[159],35%,36%,9%,11%,9%,47%,53%
3–6 Mar 2017,Essential[160],37%,37%,9%,9%,8%,47%,53%
23–26 Feb 2017,Newspoll[161],34%,37%,10%,10%,9%,45%,55%
16–19 Feb 2017,Essential[162],36%,34%,10%,10%,10%,48%,52%
9–12 Feb 2017,Essential[163],36%,35%,9%,10%,9%,48%,52%
2–5 Feb 2017,Newspoll[164],35%,36%,10%,8%,11%,46%,54%
20–23 Jan 2017,Essential[165],35%,37%,10%,9%,8%,46%,54%
13–16 Jan 2017,Essential[166],38%,37%,9%,8%,8%,47%,53%
12 Jan 2017,ReachTEL[167],37.1%,35.0%,9.8%,10.6%,7.5%,46%,54%
9–12 Dec 2016,Essential[168],37%,37%,9%,7%,9%,47%,53%
1–4 Dec 2016,Newspoll[169],39%,36%,10%,5%,10%,48%,52%
25–28 Nov 2016,Essential[170],39%,36%,9%,7%,9%,49%,51%
24–26 Nov 2016,Ipsos[171],36%,30%,16%,7%,9%,49%,51%
17–20 Nov 2016,Newspoll[172],38%,38%,10%,4%,10%,47%,53%
11–14 Nov 2016,Essential[173],37%,37%,11%,6%,9%,47%,53%
3–6 Nov 2016,Newspoll[174],39%,38%,10%,–,13%,47%,53%
20–23 Oct 2016,Newspoll[175],39%,37%,10%,5%,9%,48%,52%
14–17 Oct 2016,Essential[176],37%,37%,11%,5%,9%,47%,53%
7–10 Oct 2016,Essential[177],38%,36%,10%,6%,10%,48%,52%
6–9 Oct 2016,Newspoll[178],39%,36%,10%,6%,9%,48%,52%
22–25 Sep 2016,Newspoll[179],38%,37%,10%,–,15%,48%,52%
9–12 Sep 2016,Essential[180],38%,37%,10%,5%,11%,48%,52%
8–11 Sep 2016,Newspoll[181],41%,36%,9%,–,14%,50%,50%
26–29 Aug 2016,Essential[182],40%,37%,10%,–,13%,49%,51%
25–28 Aug 2016,Newspoll[183],41%,36%,9%,–,14%,50%,50%
19–22 Aug 2016,Essential[184],39%,36%,10%,–,15%,49%,51%
12–15 Aug 2016,Essential[185],39%,37%,10%,–,14%,48%,52%
5–8 Aug 2016,Essential[186],40%,37%,10%,–,13%,48%,52%
27 Jul – 1 Aug 2016,Essential[187],39%,37%,10%,–,14%,48%,52%
20–24 Jul 2016,Essential[188],39%,37%,10%,–,14%,48%,52%
13–17 Jul 2016,Essential[189],39%,36%,10%,–,15%,49%,51%
6–10 Jul 2016,Essential[190],41%,36%,10%,–,13%,49%,51%
