Date,Firm,Method,Sample size,LNP,ALP,GRN,ONP,UAP,OTH,UND,LNP2,ALP2
11–12, 18–19 July 2020,Roy Morgan[99],Telephone/online,2589,43.5%,33.5%,11%,2.5%,9.5%,–,–,51.5%,48.5%
15–18 July 2020,Newspoll-YouGov[100],Online,1850,44%,34%,10%,4%,8%,–,–,53%,47%
13 July 2020,Essential[98],Online,1054,37%,34%,10%,4%,6%,–,9%,45%,46%
29 June 2020,Essential[98],Online,1079,39%,33%,9%,4%,6%,–,8%,47%,45%
24–27 June 2020,Newspoll-YouGov[101],Online,1521,42%,35%,11%,3%,9%,–,–,51%,49%
22 June 2020,Essential[98],Online,1079,39%,33%,10%,5%,6%,–,7%,48%,46%
13–14, 20–21 June 2020,Roy Morgan[102],Telephone/online,2593,42.5%,34.5%,10.5%,4%,8.5%,–,–,50.5%,49.5%
15 June 2020,Essential[98],Online,1087,38%,35%,9%,5%,7%,–,7%,47%,47%
8 June 2020,Essential[98],Online,1073,40%,33%,9%,4%,6%,–,8%,47%,45%
3–6 June 2020,Newspoll-YouGov[103],Online,1512,42%,34%,12%,4%,8%,–,–,51%,49%
13–16 May 2020,Newspoll-YouGov[104],Online,1504,43%,35%,10%,3%,9%,–,–,51%,49%
18–19, 25–26 April 2020,Roy Morgan[105],Telephone/online,2806,43.5%,33%,11.5%,3%,9%,–,–,51.5%,48.5%
22–25 April 2020,Newspoll-YouGov[106],Online,1519,41%,36%,12%,4%,7%,–,–,50%,50%
1–3 April 2020,Newspoll-YouGov[107],Online,1508,42%,34%,13%,5%,6%,–,–,51%,49%
11–14 March 2020,Newspoll-YouGov[108],Online,1501,40%,36%,12%,4%,8%,–,–,49%,51%
19–22 February 2020,Newspoll-YouGov[109],Online,1513,38%,34%,13%,4%,11%,–,–,49%,51%
20 January – 3 February 2020,ANU[110],CATI/online,3249,34.8%,33.4%,14.7%,–,10.5%,–,–,–,–
29 January – 1 February 2020,Newspoll-YouGov[111],Online,1510,38%,35%,13%,4%,10%,–,–,48%,52%
8–11 January 2020,Newspoll-YouGov[112],Online,1505,40%,36%,12%,4%,8%,–,–,49%,51%
4–8 December 2019,Newspoll-YouGov[113],Online,1503,42%,33%,11%,5%,9%,–,–,52%,48%
21–23 November 2019,Newspoll-YouGov[114],Online[115],1519,41%,33%,12%,5%,9%,–,–,51%,49%
7–10 November 2019,Newspoll-YouGov[116],IVR/online,1682,40%,35%,12%,7%,6%,–,–,50%,50%
17–20 October 2019,Newspoll-YouGov[117],IVR/online,1634,42%,33%,13%,6%,6%,–,–,51%,49%
26–29 September 2019,Newspoll-YouGov[118],IVR/online,1658,42%,33%,13%,6%,6%,–,–,51%,49%
5–7 September 2019,Newspoll-YouGov[119],IVR/online,1661,43%,35%,12%,5%,5%,–,–,51%,49%
15–18 August 2019,Newspoll-YouGov[120],IVR/online,1623,42%,34%,11%,4%,9%,–,–,51%,49%
25–28 July 2019,Newspoll-YouGov[121],IVR/online,1601,44%,33%,11%,3%,9%,–,–,53%,47%
