2–4 Jul 2015,Ipsos[114],39%,35%,16%,10%,47%,53%
27–28 Jun 2015,Morgan[115],39%,36%,14%,11%,46.5%,53.5%
16 Jun 2015,Newspoll[116],40%,34%,14%,12%,49%,51%
16 Jun 2015,Essential,42%,39%,10%,9%,48%,52%
13–14 Jun 2015,Morgan[117],37.5%,37.5%,13.5%,11.5%,45.5%,54.5%
11–13 Jun 2015,Ipsos[118],40%,37%,14%,10%,47%,53%
11–13 Jun 2015,Essential,41%,40%,9%,10%,48%,52%
2 Jun 2015,Newspoll[119],41%,37%,13%,9%,48%,52%
2 Jun 2015,Essential[120],41%,37%,13%,9%,48%,52%
"23–24, 30–31 May 2015",Morgan[121],41%,37%,13%,9%,47%,53%
26 May 2015,Essential[120],41%,39%,10%,9%,48%,52%
18 May 2015,Morgan[122],41.5%,35.5%,12.5%,10.5%,49%,51%
17 May 2015,Ipsos[123],43%,35%,13%,9%,50%,50%
17 May 2015,Newspoll[124],40%,37%,12%,11%,47%,53%
13 May 2015,ReachTel[125],41.1%,38.3%,12.1%,8.6%,47%,53%
7–10 May 2015,Essential[126],41%,39%,11%,10%,48%,52%
4 May 2015,Newspoll[127],39%,35%,12%,14%,48%,52%
4 May 2015,Morgan[128],40%,37.5%,11.5%,11%,46.5%,53.5%
28 Apr 2015,Essential,40%,39%,10%,11%,47%,53%
21 Apr 2015,Essential,41%,39%,11%,10%,48%,52%
"11–12, 18–19 Apr 2015",Morgan[129],38.5%,38%,12%,11%,47%,53%
14 Apr 2015,Essential,41%,39%,10%,11%,48%,52%
10–12 Apr 2015,Newspoll[130],41%,36%,11%,12%,49%,51%
9–11 Apr 2015,Ipsos[131],39%,38%,13%,9%,46%,54%
"28–29 Mar, 3–6 Apr 2015",Morgan[132],40.5%,36%,12.5%,11%,47%,53%
29 Mar 2015,ReachTEL[133],39.6%,40.5%,11.5%,8.5%,46%,54%
20–22 Mar 2015,Newspoll[134],41%,37%,11%,11%,49%,51%
"14–15, 21–22 Mar 2015",Morgan[135],38%,40%,11%,11%,44%,56%
17 Mar 2015,Essential,40%,39%,9%,11%,48%,52%
10 Mar 2015,Essential[136],40%,40%,9%,11%,47%,53%
7–8 Mar 2015,Newspoll[137],38%,39%,12%,11%,45%,55%
"28 Feb–1, 7–8 Mar 2015",Morgan[138],39%,38%,12.5%,11.5%,46.5%,53.5%
26–28 Feb 2015,Ipsos,42%,36%,12%,10%,49%,51%
20–22 Feb 2015,Essential,40%,41%,9%,10%,47%,53%
20–22 Feb 2015,Newspoll,38%,38%,12%,12%,47%,53%
6–8 Feb 2015,Newspoll,35%,41%,12%,12%,43%,57%
"31 Jan–1, 7–8 Feb 2015",Morgan,35%,41%,12%,12%,42.5%,57.5%
5 Feb 2015,ReachTEL,38.4%,41.4%,11.2%,8.9%,45%,55%
4–5 Feb 2015,Galaxy,36%,43%,11%,10%,43%,57%
28–30 Jan 2015,Galaxy,36%,43%,11%,10%,43%,57%
27 Jan 2015,ReachTEL,39.7%,40.2%,11.3%,8.8%,46%,54%
27 Jan 2015,Essential,39%,41%,9%,11%,46%,54%
20 Jan 2015,Essential,40%,40%,10%,11%,47%,53%
13 Jan 2015,Essential,38%,40%,10%,11%,46%,54%
12 Jan 2015,Morgan,38.5%,38.5%,9.5%,13.5%,45.5%,54.5%
23–27 Dec 2014,Morgan,37.5%,39.5%,12%,11%,43.5%,56.5%
16 Dec 2014,Essential,40%,38%,10%,12%,48%,52%
12–15 Dec 2014,Newspoll,38%,39%,12%,11%,46%,54%
"6–7, 13–14 Dec 2014",Morgan,35%,41%,11.5%,12.5%,42.5%,57.5%
4–6 Dec 2014,Ipsos,40%,37%,12%,11%,48%,52%
2–4 Dec 2014,Galaxy,38%,41%,11%,10%,45%,55%
2 Dec 2014,Essential,40%,40%,9%,11%,47%,53%
29–30 Nov 2014,Newspoll,37%,37%,13%,13%,46%,54%
"22–23, 29–30 Nov 2014",Morgan,37%,37.5%,12%,11.5%,46.5%,53.5%
25 Nov 2014,Essential,40%,39%,10%,11%,48%,52%
21 Nov 2014,ReachTEL,40.2%,38.7%,11.1%,9.9%,47%,53%
18 Nov 2014,Newspoll,36%,39%,11%,14%,45%,55%
17 Nov 2014,Essential,40%,38%,10%,12%,48%,52%
17 Nov 2014,Morgan,38%,38.5%,12%,11.5%,44.5%,55.5%
11 Nov 2014,Essential,40%,38%,10%,13%,48%,52%
4 Nov 2014,Newspoll,38%,36%,13%,13%,46%,54%
4 Nov 2014,Essential,40%,38%,10%,12%,48%,52%
"25–26 Oct, 1–2 Nov 2014",Morgan,38.5%,37.5%,12.5%,11.5%,45.5%,54.5%
30 Oct–1 Nov 2014,Ipsos,42%,37%,12%,10%,49%,51%
28 Oct 2014,Essential,39%,39%,9%,12%,47%,53%
23 Oct 2014,ReachTEL,40.1%,37.5%,11.5%,10.9%,48%,52%
21 Oct 2014,Essential,40%,39%,10%,11%,47%,53%
21 Oct 2014,Newspoll,38%,34%,14%,14%,47%,53%
20 Oct 2014,Morgan,39.5%,35.5%,12%,13%,48%,52%
14 Oct 2014,Essential,41%,39%,10%,10%,48%,52%
7 Oct 2014,Essential,40%,39%,10%,11%,48%,52%
4–5 Oct 2014,Morgan,40%,35%,12%,13%,47%,53%
4–5 Oct 2014,Galaxy,42%,36%,12%,10%,49%,51%
23 Sep 2014,Newspoll,41%,34%,11%,14%,49%,51%
"13–14, 20–21 Sep 2014",Morgan,38.5%,37.5%,12%,12%,45.5%,54.5%
18 Sep 2014,ReachTEL,41.6%,37.4%,10.5%,10.5%,49%,51%
"30–31 Aug, 6–7 Sep 2014",Morgan,38%,37%,10.5%,14.5%,46%,54%
5–7 Sep 2014,Newspoll,39%,35%,14%,12%,48%,52%
22–24 Aug 2014,Newspoll,40%,34%,11%,15%,49%,51%
"16–17, 23–24 Aug 2014",Morgan,37.5%,38.5%,10.5%,13.5%,44.5%,55.5%
19 Aug 2014,Essential,40%,38%,9%,13%,48%,52%
9–10 Aug 2014,Morgan,37.5%,38%,11%,13.5%,44%,56%
8–10 Aug 2014,Newspoll,40%,34%,13%,13%,48%,52%
25–27 Jul 2014,Newspoll,36%,36%,12%,16%,46%,54%
11–13 Jul 2014,Newspoll,36%,37%,11%,16%,46%,54%
1 Jul 2014,Essential[139],40%,38%,9%,13%,48%,52%
30 Jun 2014,Morgan[140],35%,36.5%,12%,16.5%,42.5%,57.5%
27–29 Jun 2014,Newspoll,35%,37%,13%,15%,45%,55%
13–15 Jun 2014,Newspoll,37%,36%,10%,17%,47%,53%
30 May–1 Jun 2014,Newspoll,36%,37%,12%,15%,46%,54%
27 May 2014,Essential[141],40%,39%,9%,12%,48%,52%
20 May 2014,Essential[142],40%,40%,8%,12%,48%,52%
17–18 May 2014,Morgan[143],35%,38.5%,12%,14.5%,42.5%,57.5%
16–18 May 2014,Newspoll,36%,38%,11%,15%,45%,55%
15–17 May 2014,Nielsen[144],35%,40%,14%,12%,44%,56%
4 May 2014,Galaxy[145],39%,37%,11%,13%,48%,52%
2–4 May 2014,Newspoll[146],38%,34%,14%,14%,47%,53%
30 Apr 2014,Essential[141],40%,38%,10%,11%,48%,52%
22 Apr 2014,Morgan[147],38.5%,34%,13%,14.5%,48%,52%
15 Apr 2014,Essential[148],42%,37%,10%,11%,50%,50%
13 Apr 2014,Nielsen[149],40%,34%,17%,9%,48%,52%
8 Apr 2014,Essential[150],42%,38%,9%,11%,49%,51%
7 Apr 2014,Morgan[151],38.5%,34.5%,12%,15%,48.5%,51.5%
4–6 Apr 2014,Newspoll[152],43%,34%,11%,12%,51%,49%
25 Mar 2014,Morgan[153],38%,38.5%,11%,12.5%,45.5%,54.5%
25 Mar 2014,Essential[154],44%,37%,9%,11%,51%,49%
21–23 Mar 2014,Newspoll[155],40%,36%,13%,11%,48%,52%
18 Mar 2014,Essential[156],43%,36%,9%,12%,51%,49%
13–15 Mar 2014,Nielsen[157],44%,35%,12%,10%,51%,49%
7–9 Mar 2014,Newspoll,41%,35%,11%,13%,49%,51%
5 Mar 2014,Essential[158],44%,38%,8%,10%,51%,49%
23 Feb 2014,Morgan[159],41%,35.5%,10.5%,13%,49.5%,50.5%
21–23 Feb 2014,Newspoll[160],39%,39%,10%,12%,46%,54%
15 Feb 2014,Nielsen[161],44%,33%,12%,11%,52%,48%
7–9 Feb 2014,Newspoll[162],41%,35%,12%,12%,49%,51%
28 Jan 2014,Morgan[163],39.5%,37%,11.5%,12%,47%,53%
23 Jan 2014,ReachTEL,39.8%,40.6%,9.1%,9.1%,47%,53%
17–20 Jan 2014,Essential[164],43%,37%,9%,11%,51%,49%
13 Jan 2014,Morgan[165],38%,39%,10.5%,12.5%,47.5%,52.5%
16 Dec 2013,Morgan[166],40.5%,38.5%,10%,11%,47.5%,52.5%
15 Dec 2013,ReachTEL,41.4%,40.4%,8.7%,9.5%,48%,52%
6–8 Dec 2013,Newspoll,40%,38%,11%,11%,48%,52%
28 Nov–2 Dec 2013,Essential[167],44%,36%,8%,11%,52%,48%
30 Nov–1 Dec 2013,Morgan (multi)[168],41.5%,38.5%,8.5%,12.5%,48.5%,51.5%
22–24 Nov 2013,Newspoll,43%,35%,10%,12%,52%,48%
21–23 Nov 2013,Nielsen[169],41%,37%,11%,11%,48%,52%
8–10 Nov 2013,Newspoll,45%,32%,12%,11%,53%,47%
25–27 Oct 2013,Newspoll,47%,31%,10%,12%,56%,44%
19–20 Oct 2013,Morgan[170],43.5%,34.5%,10%,12%,51.5%,48.5%
21–22 Sep 2013,Morgan[171],43.5%,34%,10.5%,12%,50.5%,49.5%
19–22 Sep 2013,Essential[172],43%,37%,9%,11%,51%,49%
12–15 Sep 2013,Essential[172],44%,36%,9%,11%,53%,47%
